route,bicycling,driving_best_guess,transit,walking,best,origin_ine_code,destination_ine_code,workers_count
28012 - 28079-13,8941,2380,NA,31172,más de 30 min,28012,28079-13,2
28012 - 28079-14,8368,2147,NA,29577,más de 30 min,28012,28079-14,2
28012 - 28079-15,8664,1959,NA,31585,más de 30 min,28012,28079-15,6
28012 - 28079-16,8490,1990,NA,31443,más de 30 min,28012,28079-16,5
28012 - 28079-17,10450,2667,NA,36657,más de 30 min,28012,28079-17,4
28012 - 28079-18,7594,1828,NA,28933,más de 30 min,28012,28079-18,1
28012 - 28079-19,7107,2255,NA,26549,más de 30 min,28012,28079-19,1
28012 - 28079-20,7467,2050,NA,29328,más de 30 min,28012,28079-20,13
28012 - 28079-21,7289,1928,NA,27940,más de 30 min,28012,28079-21,9
28012 - 28083,3827,1193,NA,11536,driving_best_guess,28012,28083,6
28012 - 28084,4475,1668,NA,17297,driving_best_guess,28012,28084,2
28012 - 28104,5978,1802,NA,21516,más de 30 min,28012,28104,1
28012 - 28106,12126,2942,NA,44116,más de 30 min,28012,28106,1
28012 - 28107,12551,3781,NA,45163,más de 30 min,28012,28107,1
28012 - 28111,2692,1243,NA,8746,driving_best_guess,28012,28111,1
28012 - 28113,10910,2601,NA,39979,más de 30 min,28012,28113,2
28012 - 28115,12994,2761,NA,41614,más de 30 min,28012,28115,5
28012 - 28123,6896,2241,NA,24057,más de 30 min,28012,28123,3
28012 - 28127,14996,2918,NA,47779,más de 30 min,28012,28127,4
28012 - 28130,5057,1582,NA,18290,driving_best_guess,28012,28130,7
28012 - 28134,7898,2268,NA,29911,más de 30 min,28012,28134,3
28012 - 28136,1230,353,3077,3077,bicycling,28012,28136,1
28012 - 28148,3746,1535,NA,15006,driving_best_guess,28012,28148,11
28012 - 28154,2501,965,NA,9113,driving_best_guess,28012,28154,5
28012 - 28156,6221,2327,NA,19036,más de 30 min,28012,28156,1
28012 - 28161,10591,2693,NA,39070,más de 30 min,28012,28161,1
28012 - 28162,7046,2412,NA,24180,más de 30 min,28012,28162,1
28012 - 28172,1623,721,NA,4471,bicycling,28012,28172,17
28012 - 28181,14823,3198,NA,49123,más de 30 min,28012,28181,1
28012 - 28903,13325,2589,NA,39582,más de 30 min,28012,28903,2
28013 - 28002,13569,3079,7320,49164,más de 30 min,28013,28002,3
28013 - 28004,9918,3162,NA,35485,más de 30 min,28013,28004,2
