code,inside,outside,workers_count,inside_per,outside_per,places,statistical_zone,name,province,loc_string
28902,17,179,196,0.08673469387755102,0.9132653061224489,53,06,Puentes Viejas,Madrid,Puentes+Viejas+Madrid+spain
28903,5043,12249,17292,0.2916377515614157,0.7083622484385843,120,02,Tres Cantos,Madrid,Tres+Cantos+Madrid+spain
45019,0,414,414,0,1,63,13,Bargas,Toledo,Bargas+Toledo+spain
45021,0,240,240,0,1,57,13,Borox,Toledo,Borox+Toledo+spain
45025,0,131,131,0,1,44,13,Cabañas de la Sagra,Toledo,Cabañas+de+la+Sagra+Toledo+spain
45031,0,311,311,0,1,58,13,Camarena,Toledo,Camarena+Toledo+spain
45038,0,571,571,0,1,63,13,Carranque,Toledo,Carranque+Toledo+spain
45041,0,574,574,0,1,69,13,Casarrubios del Monte,Toledo,Casarrubios+del+Monte+Toledo+spain
45047,0,371,371,0,1,64,13,Cedillo del Condado,Toledo,Cedillo+del+Condado+Toledo+spain
45050,0,71,71,0,1,30,13,Ciruelos,Toledo,Ciruelos+Toledo+spain
45056,0,331,331,0,1,58,13,Chozas de Canales,Toledo,Chozas+de+Canales+Toledo+spain
45064,0,522,522,0,1,70,13,Esquivias,Toledo,Esquivias+Toledo+spain
45066,0,470,470,0,1,68,13,Fuensalida,Toledo,Fuensalida+Toledo+spain
45081,0,2838,2838,0,1,100,13,Illescas,Toledo,Illescas+Toledo+spain
45085,0,134,134,0,1,50,13,Lominchar,Toledo,Lominchar+Toledo+spain
45088,0,201,201,0,1,53,13,Magán,Toledo,Magán+Toledo+spain
45099,0,503,503,0,1,65,13,Méntrida,Toledo,Méntrida+Toledo+spain
45102,0,119,119,0,1,47,13,Mocejón,Toledo,Mocejón+Toledo+spain
45119,0,663,663,0,1,72,13,Numancia de la Sagra,Toledo,Numancia+de+la+Sagra+Toledo+spain
45121,0,798,798,0,1,76,13,Ocaña,Toledo,Ocaña+Toledo+spain
45122,0,353,353,0,1,66,13,Olías del Rey,Toledo,Olías+del+Rey+Toledo+spain
45123,0,593,593,0,1,63,13,Ontígola,Toledo,Ontígola+Toledo+spain
45127,0,96,96,0,1,40,13,Palomeque,Toledo,Palomeque+Toledo+spain
45128,0,283,283,0,1,64,13,Pantoja,Toledo,Pantoja+Toledo+spain
45134,0,79,79,0,1,35,13,Portillo de Toledo,Toledo,Portillo+de+Toledo+Toledo+spain
45157,0,234,234,0,1,57,13,Santa Cruz del Retamar,Toledo,Santa+Cruz+del+Retamar+Toledo+spain
45161,0,3003,3003,0,1,105,13,Seseña,Toledo,Seseña+Toledo+spain
45168,0,3054,3054,0,1,102,13,Toledo,Toledo,Toledo+Toledo+spain
45171,0,132,132,0,1,40,13,Torre de Esteban Hambrán,Toledo,Torre+de+Esteban+Hambrán+Toledo+spain
45176,0,816,816,0,1,74,13,Ugena,Toledo,Ugena+Toledo+spain
45180,0,417,417,0,1,68,13,Valmojado,Toledo,Valmojado+Toledo+spain
45183,0,360,360,0,1,58,13,Las Ventas de Retamosa,Toledo,Las+Ventas+de+Retamosa+Toledo+spain
45188,0,276,276,0,1,55,13,Villaluenga de la Sagra,Toledo,Villaluenga+de+la+Sagra+Toledo+spain
45199,0,483,483,0,1,70,13,El Viso de San Juan,Toledo,El+Viso+de+San+Juan+Toledo+spain
45201,0,577,577,0,1,70,13,Yeles,Toledo,Yeles+Toledo+spain
45203,0,283,283,0,1,62,13,Yuncler,Toledo,Yuncler+Toledo+spain
45205,0,1130,1130,0,1,83,13,Yuncos,Toledo,Yuncos+Toledo+spain
