status,distance.value,duration.value,origin,origin_ine_code,dest_ine_code,destination
OK,56149,11729,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28067,"28794 Guadalix de la Sierra, Madrid, Spain"
OK,74416,14907,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28074,"Leganés, Madrid, Spain"
OK,62085,12406,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079,"Madrid, Spain"
OK,62577,12494,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-01,"Centro, Madrid, Spain"
OK,67237,13091,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-02,"Arganzuela, Madrid, Spain"
OK,58896,11765,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-03,"Retiro, Madrid, Spain"
OK,60308,11972,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-04,"Salamanca, Madrid, Spain"
OK,175576,39141,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-05,"05141 Chamartín, Ávila, Spain"
OK,63159,12747,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-06,"Tetuán, Madrid, Spain"
OK,63283,12690,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-07,"Chamberí, Madrid, Spain"
OK,62048,12884,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-08,"Fuencarral-El Pardo, 28048 Madrid, Spain"
OK,74483,14559,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-09,"Moncloa - Aravaca, Madrid, Spain"
OK,71626,14205,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-10,"Latina, Madrid, Spain"
OK,70632,14348,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-11,"Carabanchel, Madrid, Spain"
OK,66523,13045,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079-12,"Usera, Madrid, Spain"
