route,origin_ine_code,destination_ine_code,workers_count
19130 - 28079,19130,28079,48
19130 - 28079-01,19130,28079-01,197
19130 - 28079-02,19130,28079-02,109
19130 - 28079-03,19130,28079-03,121
19130 - 28079-04,19130,28079-04,273
19130 - 28079-05,19130,28079-05,295
19130 - 28079-06,19130,28079-06,208
19130 - 28079-07,19130,28079-07,168
19130 - 28079-08,19130,28079-08,149
19130 - 28079-09,19130,28079-09,136
19130 - 28079-10,19130,28079-10,51
19130 - 28079-11,19130,28079-11,25
19130 - 28079-12,19130,28079-12,38
19130 - 28079-13,19130,28079-13,48
19130 - 28079-14,19130,28079-14,20
19130 - 28079-15,19130,28079-15,158
19130 - 28079-16,19130,28079-16,191
19130 - 28079-17,19130,28079-17,46
19130 - 28079-18,19130,28079-18,52
19130 - 28079-19,19130,28079-19,18
19130 - 28079-20,19130,28079-20,256
19130 - 28079-21,19130,28079-21,146
19130 - 28080,19130,28080,31
19130 - 28083,19130,28083,135
19130 - 28084,19130,28084,8
19130 - 28086,19130,28086,1
19130 - 28090,19130,28090,1
19130 - 28091,19130,28091,1
19130 - 28092,19130,28092,17
19130 - 28096,19130,28096,1
19130 - 28100,19130,28100,5
19130 - 28104,19130,28104,8
19130 - 28106,19130,28106,17
19130 - 28108,19130,28108,1
19130 - 28111,19130,28111,3
19130 - 28113,19130,28113,11
19130 - 28115,19130,28115,89
19130 - 28116,19130,28116,1
19130 - 28123,19130,28123,26
19130 - 28127,19130,28127,51
19130 - 28129,19130,28129,5
19130 - 28130,19130,28130,121
19130 - 28131,19130,28131,1
19130 - 28132,19130,28132,2
19130 - 28134,19130,28134,57
19130 - 28137,19130,28137,6
19130 - 28144,19130,28144,3
19130 - 28148,19130,28148,127
19130 - 28149,19130,28149,1
19130 - 28151,19130,28151,1
19130 - 28152,19130,28152,2
19130 - 28154,19130,28154,3
19130 - 28156,19130,28156,3
19130 - 28160,19130,28160,1
19130 - 28161,19130,28161,6
19130 - 28162,19130,28162,2
19130 - 28165,19130,28165,2
19130 - 28167,19130,28167,5
19130 - 28172,19130,28172,10
19130 - 28173,19130,28173,1
19130 - 28176,19130,28176,3
19130 - 28177,19130,28177,1
19130 - 28180,19130,28180,2
19130 - 28181,19130,28181,4
19130 - 28901,19130,28901,1
19130 - 28903,19130,28903,70
19160 - 28002,19160,28002,4
19160 - 28005,19160,28005,34
19160 - 28006,19160,28006,8
19160 - 28007,19160,28007,2
19160 - 28015,19160,28015,3
19160 - 28026,19160,28026,1
19160 - 28032,19160,28032,2
19160 - 28040,19160,28040,1
19160 - 28041,19160,28041,1
19160 - 28049,19160,28049,2
19160 - 28058,19160,28058,2
19160 - 28065,19160,28065,5
19160 - 28074,19160,28074,3
19160 - 28075,19160,28075,3
19160 - 28079,19160,28079,3
19160 - 28079-01,19160,28079-01,3
19160 - 28079-02,19160,28079-02,2
19160 - 28079-03,19160,28079-03,5
19160 - 28079-04,19160,28079-04,8
19160 - 28079-05,19160,28079-05,9
19160 - 28079-06,19160,28079-06,1
19160 - 28079-07,19160,28079-07,5
19160 - 28079-08,19160,28079-08,4
19160 - 28079-09,19160,28079-09,3
19160 - 28079-13,19160,28079-13,1
19160 - 28079-15,19160,28079-15,3
19160 - 28079-16,19160,28079-16,3
19160 - 28079-17,19160,28079-17,3
19160 - 28079-18,19160,28079-18,2
19160 - 28079-19,19160,28079-19,2
19160 - 28079-20,19160,28079-20,7
19160 - 28079-21,19160,28079-21,4
19160 - 28083,19160,28083,5
19160 - 28100,19160,28100,2
19160 - 28111,19160,28111,2
19160 - 28115,19160,28115,1
19160 - 28127,19160,28127,1
19160 - 28129,19160,28129,1
19160 - 28130,19160,28130,2
19160 - 28148,19160,28148,2
19160 - 28154,19160,28154,1
19160 - 28172,19160,28172,2
19160 - 28179,19160,28179,1
19160 - 28181,19160,28181,1
19160 - 28903,19160,28903,2
19171 - 28002,19171,28002,3
19171 - 28004,19171,28004,3
19171 - 28005,19171,28005,75
19171 - 28006,19171,28006,27
19171 - 28007,19171,28007,5
19171 - 28008,19171,28008,1
19171 - 28009,19171,28009,2
19171 - 28013,19171,28013,6
19171 - 28014,19171,28014,3
19171 - 28022,19171,28022,1
19171 - 28032,19171,28032,3
19171 - 28040,19171,28040,1
19171 - 28045,19171,28045,1
19171 - 28047,19171,28047,1
19171 - 28049,19171,28049,10
19171 - 28053,19171,28053,2
19171 - 28055,19171,28055,1
19171 - 28058,19171,28058,2
19171 - 28061,19171,28061,1
19171 - 28065,19171,28065,5
19171 - 28067,19171,28067,1
19171 - 28072,19171,28072,1
19171 - 28074,19171,28074,1
19171 - 28075,19171,28075,1
19171 - 28079,19171,28079,3
19171 - 28079-01,19171,28079-01,4
19171 - 28079-02,19171,28079-02,7
19171 - 28079-03,19171,28079-03,10
19171 - 28079-04,19171,28079-04,13
19171 - 28079-05,19171,28079-05,10
19171 - 28079-06,19171,28079-06,12
19171 - 28079-07,19171,28079-07,10
19171 - 28079-08,19171,28079-08,14
19171 - 28079-09,19171,28079-09,1
19171 - 28079-10,19171,28079-10,8
19171 - 28079-12,19171,28079-12,3
19171 - 28079-13,19171,28079-13,5
19171 - 28079-14,19171,28079-14,5
19171 - 28079-15,19171,28079-15,2
19171 - 28079-16,19171,28079-16,7
19171 - 28079-17,19171,28079-17,3
19171 - 28079-18,19171,28079-18,4
19171 - 28079-19,19171,28079-19,3
19171 - 28079-20,19171,28079-20,19
19171 - 28079-21,19171,28079-21,7
19171 - 28083,19171,28083,16
19171 - 28084,19171,28084,1
19171 - 28089,19171,28089,1
19171 - 28092,19171,28092,3
19171 - 28123,19171,28123,2
19171 - 28127,19171,28127,1
19171 - 28130,19171,28130,13
19171 - 28134,19171,28134,3
19171 - 28148,19171,28148,10
19171 - 28154,19171,28154,2
19171 - 28156,19171,28156,1
19171 - 28161,19171,28161,1
19171 - 28167,19171,28167,1
19171 - 28903,19171,28903,2
19220 - 28002,19220,28002,4
19220 - 28005,19220,28005,113
19220 - 28006,19220,28006,28
19220 - 28007,19220,28007,9
19220 - 28009,19220,28009,2
19220 - 28012,19220,28012,2
19220 - 28013,19220,28013,3
19220 - 28014,19220,28014,7
19220 - 28015,19220,28015,2
19220 - 28022,19220,28022,1
19220 - 28024,19220,28024,1
19220 - 28032,19220,28032,4
19220 - 28040,19220,28040,1
19220 - 28041,19220,28041,1
19220 - 28045,19220,28045,1
19220 - 28047,19220,28047,1
19220 - 28048,19220,28048,1
19220 - 28049,19220,28049,8
19220 - 28050,19220,28050,1
19220 - 28053,19220,28053,5
19220 - 28058,19220,28058,3
19220 - 28061,19220,28061,1
19220 - 28065,19220,28065,7
19220 - 28075,19220,28075,2
19220 - 28079,19220,28079,4
19220 - 28079-01,19220,28079-01,8
19220 - 28079-02,19220,28079-02,2
19220 - 28079-03,19220,28079-03,7
19220 - 28079-04,19220,28079-04,12
19220 - 28079-05,19220,28079-05,19
19220 - 28079-06,19220,28079-06,7
19220 - 28079-07,19220,28079-07,11
19220 - 28079-08,19220,28079-08,8
19220 - 28079-09,19220,28079-09,7
19220 - 28079-10,19220,28079-10,2
19220 - 28079-11,19220,28079-11,5
19220 - 28079-12,19220,28079-12,1
19220 - 28079-14,19220,28079-14,2
19220 - 28079-15,19220,28079-15,11
19220 - 28079-16,19220,28079-16,5
19220 - 28079-17,19220,28079-17,4
19220 - 28079-18,19220,28079-18,4
19220 - 28079-19,19220,28079-19,3
19220 - 28079-20,19220,28079-20,18
19220 - 28079-21,19220,28079-21,10
19220 - 28083,19220,28083,11
19220 - 28084,19220,28084,5
19220 - 28092,19220,28092,2
19220 - 28096,19220,28096,1
19220 - 28100,19220,28100,1
19220 - 28104,19220,28104,1
19220 - 28106,19220,28106,2
19220 - 28111,19220,28111,3
19220 - 28115,19220,28115,9
19220 - 28123,19220,28123,1
19220 - 28127,19220,28127,2
19220 - 28130,19220,28130,7
19220 - 28134,19220,28134,3
19220 - 28136,19220,28136,1
19220 - 28137,19220,28137,1
19220 - 28148,19220,28148,14
19220 - 28154,19220,28154,1
19220 - 28156,19220,28156,1
19220 - 28167,19220,28167,1
19220 - 28172,19220,28172,9
19220 - 28903,19220,28903,4
19225 - 28002,19225,28002,1
19225 - 28004,19225,28004,2
19225 - 28005,19225,28005,35
19225 - 28006,19225,28006,9
19225 - 28007,19225,28007,3
19225 - 28009,19225,28009,2
19225 - 28013,19225,28013,2
19225 - 28014,19225,28014,4
19225 - 28016,19225,28016,1
19225 - 28033,19225,28033,1
19225 - 28040,19225,28040,2
19225 - 28041,19225,28041,1
19225 - 28049,19225,28049,4
19225 - 28058,19225,28058,1
19225 - 28065,19225,28065,4
19225 - 28066,19225,28066,1
19225 - 28074,19225,28074,2
19225 - 28075,19225,28075,2
19225 - 28079,19225,28079,1
19225 - 28079-02,19225,28079-02,3
19225 - 28079-03,19225,28079-03,5
19225 - 28079-04,19225,28079-04,1
19225 - 28079-05,19225,28079-05,2
19225 - 28079-06,19225,28079-06,1
19225 - 28079-07,19225,28079-07,2
