status,distance,duration,duration_in_traffic,origin,destination,mode,traffic,departure_time
OK,33536,1617,1666,"19171 Cabanillas del Campo, Guadalajara, Spain","28864 Ajalvir, Madrid, Spain",driving,best_guess,1530000000
OK,96513,3912,3978,"19171 Cabanillas del Campo, Guadalajara, Spain","28607 El Álamo, Madrid, Spain",driving,best_guess,1530000000
OK,26026,1683,1747,"19171 Cabanillas del Campo, Guadalajara, Spain","Alcala de Henares, Madrid, Spain",driving,best_guess,1530000000
OK,46542,2087,2148,"19171 Cabanillas del Campo, Guadalajara, Spain","Alcobendas, Madrid, Spain",driving,best_guess,1530000000
OK,72574,3146,3177,"19171 Cabanillas del Campo, Guadalajara, Spain","Alcorcón, Madrid, Spain",driving,best_guess,1530000000
OK,41728,1843,1899,"19171 Cabanillas del Campo, Guadalajara, Spain","28110 Algete, Madrid, Spain",driving,best_guess,1530000000
OK,30123,1732,1745,"19171 Cabanillas del Campo, Guadalajara, Spain","28818 Anchuelo, Madrid, Spain",driving,best_guess,1530000000
OK,97605,3989,4075,"19171 Cabanillas del Campo, Guadalajara, Spain","28300 Aranjuez, Madrid, Spain",driving,best_guess,1530000000
OK,52882,2456,2519,"19171 Cabanillas del Campo, Guadalajara, Spain","Arganda del Rey, 28500, Madrid, Spain",driving,best_guess,1530000000
OK,87792,3632,3658,"19171 Cabanillas del Campo, Guadalajara, Spain","28939 Arroyomolinos, Madrid, Spain",driving,best_guess,1530000000
OK,92328,3380,3443,"19171 Cabanillas del Campo, Guadalajara, Spain","Boadilla del Monte, Madrid, Spain",driving,best_guess,1530000000
OK,76469,3780,3855,"19171 Cabanillas del Campo, Guadalajara, Spain","28596 Brea de Tajo, Madrid, Spain",driving,best_guess,1530000000
OK,21012,1434,1462,"19171 Cabanillas del Campo, Guadalajara, Spain","28816 Camarma de Esteruelas, Madrid, Spain",driving,best_guess,1530000000
OK,52141,2587,2671,"19171 Cabanillas del Campo, Guadalajara, Spain","28510 Campo Real, Madrid, Spain",driving,best_guess,1530000000
OK,102203,4398,4558,"19171 Cabanillas del Campo, Guadalajara, Spain","Cercedilla, Madrid, Spain",driving,best_guess,1530000000
